locationID,verbatimLocation,locality,country,region,taxonID,taxon,habitat,firstRecordEvent,verbatimFirstRecordEvent,confidenceFirstRecordEvent,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,datasetName,bibliographicCitation,accessRights
"",Hawaiian Islands,Hawaiian Islands,"","",26774,Clerodendrum quadriloculare,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24629,Clusia rosea,"",-1934-2005,1934 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5968,Coccinia grandis,"",-1974-2005,1974 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26793,Coccoloba uvifera,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26798,Coccothrinax barbadensis,"",-1961-2005,1961 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2289,Coccotrypes rhizophorae,"",-1915-2009,1915 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5971,Coffea liberica,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5973,Coix lacryma-jobi,"",-1903-2005,1903 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2310,Coleophora serratella,"",-1885-2009,1885 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",5979,Commelina benghalensis,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8599,Conocarpus erectus,"",-1935-2005,1935 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2336,Contarinia baeri,"",-1960-2009,1960 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2346,Coptotermes formosanus,"",-1965-2009,1965 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9490,Corchorus olitorius,"",-1941-2005,1941 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26853,Cordia dichotoma,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",380,Coreopsis lanceolata,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",383,Coriandrum sativum,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",388,Cortaderia jubata,"",-1989-2005,1989 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",389,Cortaderia selloana,"",-1924-2005,1924 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6004,Costus dubius,"",-1980-2005,1980 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26869,Costus malortieanus,"",-1961-2005,1961 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26870,Costus pulverulentus,"",-1954-2005,1954 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26872,Costus woodsonii,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6022,Crassula multicava,"",-1940-2005,1940 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6025,Crassula ovata,"",-1950-2005,1950 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United Kingdom,United Kingdom,"","",19288,Crocidura russula (Hermann 1780),"",-5200-2000,-5200 - -2000,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",Cyprus,Cyprus,"","",19289,"Crocidura suaveolens (Pallas, 1811)","",-7000-6000,-7000 - -6000,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",France (Corsica),France (Corsica),"","",19289,"Crocidura suaveolens (Pallas, 1811)","",-1100-1000,-1100 - -1000,low confidence,Established,Established,Established,Unintentional,Piero Genovesi,Piero Genovesi,Free
"",United States,United States,"","",2372,Crocothemis servilia,"",-1975-1992,1975 (Frank and McCoy (1992)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",12754,Cronartium ribicola,"",-1900-2009,1900 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6048,Crotalaria micans,"",-1911-2005,1911 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6051,Crotalaria retusa,"",-1919-2005,1919 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24639,Crotalaria verrucosa,"",-1944-2005,1944 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",30143,Cryphonectria parasitica,"",-1876-2009,1876 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",5174,Cryptodiaporthe populea,"",-1915-2009,1915 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",17516,Cryptomeria japonica,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6063,Cryptostegia grandiflora,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6065,Cryptotaenia canadensis,"",-1925-2005,1925 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2392,Crypturgus pusillus,"",-1868-2009,1868 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6076,Cuphea hyssopifolia,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",12772,Cuphea ignea,"",-1915-2005,1915 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26918,Cuphea subuligera,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26919,Curcuma longa,"",-1912-2005,1912 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6086,Cyathea cooperi,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",30175,Cyclorhipidion bodoanum,"",-1944-2009,1944 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",19220,Cyclorhipidion pelliculosum,"",-1987-2009,1987 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",North-west Antarctic Peninsula,North-west Antarctic Peninsula,"","",38069,Cylindrobasidium evolvens (Fr) J�lich,terrestrial,-2007-2008,2007/2008,low confidence,absent,absent,absent,introduced,Leihy et al (2023),Leihy et al (2023),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26938,Cynanchum gerrardii,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",429,Cynodon dactylon,"",-1895-2005,1895 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",12788,Cynoglossum amabile,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24641,Cyperus gracilis,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6118,Cyperus involucratus,"",-1921-2005,1921 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26944,Cyperus meyenianus,"",-1965-2005,1965 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6123,Cyperus prolifer,"",-1947-2005,1947 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6135,Cyrtomium falcatum,"",-1928-2005,1928 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Norway,Norway,"","",12804,Cytisus �praecox,"",-1900-2000-1900,1900-2000 - 1900,low confidence,alien,alien,alien,"",GISD,GISD,Free
"",Hawaiian Islands,Hawaiian Islands,"","",26960,Dacrycarpus imbricatus,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Canada,Canada,"","",2417,Dahlbominus fuscipennis,"",-1934-1943-1946,1934-1943 & 1946,low confidence,established,established,established,intentional,Silvia Rossinelli & Sven Bacher,Silvia Rossinelli & Sven Bacher,Permission required from Sven Bacher (svenbacher@unifrch)
"",Greece (South Aegean Islands),Greece (South Aegean Islands),"","",19290,Dama dama (Linnaeus 1758),"",-1400-700,-1400 - -700,low confidence,Established,Established,Established,Intentional,Piero Genovesi,Piero Genovesi,Free
"",Hawaiian Islands,Hawaiian Islands,"","",6142,Datura metel,"",-1937-2005,1937 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26975,Davallia fejeensis,"",-1947-2005,1947 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",453,Delairea odorata,"",-1910-2005,1910 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6145,Delonix regia,"",-1910-2005,1910 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",30225,Dendrobaena attemsi,"",-1981-2018,>1981 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",17571,Dendrobaena hortensis,"",-1889-2018,>1889 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Alaska,Alaska,"","",25967,Dendrobaena octaedra,"",-1937-2018,1937 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25967,Dendrobaena octaedra,"",-1909-2018,>1909 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26990,Dendrobates auratus,"",-1932-2009,1932 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",26992,Dendrobium crumenatum,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",26997,Dendrodrilus rubidus,"",-1909-2018,>1909 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",15196,Deparia petersenii,"",-1938-2005,1938 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24652,Desmodium sandwicense,"",-1845-1847-2005,1845-47 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6157,Desmodium triflorum,"",-1990-2005,1990 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27023,Dialeurodes schefflerae,"",-1988-1991,1988/1991,low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6163,Dichanthium aristatum,"",-1911-2005,1911 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",30239,Dichogaster affinis,"",-1997-2018,>1997 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",27033,Dichogaster bolaui,"",-1896-2018,>1896 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2487,Dichomeris marginella,"",-1910-2009,1910 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9940,Dichondra micrantha,"",-1947-2005,1947 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27041,Dichromothrips smithi,"",-2007-2019,2007 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6168,Dichrostachys cinerea,"",-1993-2005,1993 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24656,Dicliptera chinensis,"",-1942-2005,1942 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6175,Digitaria ciliaris,"",-1903-2005,1903 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27054,Digitaria radicosa,"",-1938-2005,1938 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",24821,Dillenia suffruticosa,"",-1945-2005,1945 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6192,Diplazium esculentum,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2519,Diprion similis,"",-1914-2009,1914 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27074,Dischidia ovata,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",8317,Discula destructiva,"",-1975-2009,1975 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2522,Ditula angustiorana,"",-1924-2009,1924 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27085,Dolichothrips franae,"",-2010-2019,2010 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27086,Dolichurus stantoni,"",-1917-1960,1917 (Roth and Willis (1960)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27090,Dovyalis hebecarpa,"",-1939-2005,1939 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2542,Dryocosmus kuriphilus,"",-1974-2009,1974 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6205,Duranta erecta,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",17645,Ectopsocus briggsi,"",-1997-2019,1997 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",498,Egeria densa,"",-1932-2005,1932 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",500,Eichhornia crassipes,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",12901,Eisenia fetida,"",-1894-2018,>1894 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Alaska,Alaska,"","",25972,Eiseniella tetraedra,"",-1961-2018,>1961 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",25972,Eiseniella tetraedra,"",-1914-2018,>1914 (Reynolds (2018)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",502,Elaeagnus umbellata,"",-1963-2005,1963 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27157,Elaeocarpus angustifolius,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2579,Elatobium abietinum,"",-1900-2009,1900 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8321,Eleutherodactylus coqui,"",-1987-2009,~1987 (Kraus (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",25806,Eleutherodactylus planirostris,"",-1992-2009,~1992 (Krause (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United Kingdom,United Kingdom,"","",19296,Eliomys quercinus Linnaeus 1766,"",-200-200,-200 - 200,low confidence,Extinct,Extinct,Extinct,"",Piero Genovesi,Piero Genovesi,Free
"",France (Corsica),France (Corsica),"","",19296,Eliomys quercinus Linnaeus 1766,"",-4400-1000,-4400 - -1000,low confidence,Established,Established,Established,"",Piero Genovesi,Piero Genovesi,Free
"",Italy (Sardinia),Italy (Sardinia),"","",19296,Eliomys quercinus Linnaeus 1766,"",-6000-4000,-6000 - -4000,low confidence,Established,Established,Established,"",Piero Genovesi,Piero Genovesi,Free
"",Hawaiian Islands,Hawaiian Islands,"","",27182,Emesopsis nubila,"",-1954-1957,1954 (Zimmerman 1957),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27194,Encarsia dispersa,"",-1979-2019,1979 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27197,Encarsia luteola,"",-1990-2019,1990 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27199,Encarsia nigricephala,"",-1992-2019,1992 (Matsunaga et al (2019)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27215,Enterolobium cyclocarpum,"",-1917-2005,1917 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2625,Epinotia solandriana,"",-1909-2009,1909 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6242,Epipremnum pinnatum,"",-1930-2005,1930 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6270,Erigeron karvinskianus,"",-1911-2005,1911 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Greece (South Aegean Islands),Greece (South Aegean Islands),"","",19298,"Erinaceus concolor Martin, 1838","",-3000-2000,-3000 - -2000,low confidence,Established,Established,Established,"",Piero Genovesi,Piero Genovesi,Free
"",France (Corsica),France (Corsica),"","",19299,Erinaceus europaeus Linnaeus 1758,"",-4000-3000,-4000 - -3000,low confidence,Established,Established,Established,"",Piero Genovesi,Piero Genovesi,Free
"",Italy (Sardinia),Italy (Sardinia),"","",19299,Erinaceus europaeus Linnaeus 1758,"",-3500-2700,-3500 - -2700,low confidence,Established,Established,Established,"",Piero Genovesi,Piero Genovesi,Free
"",Hawaiian Islands,Hawaiian Islands,"","",6271,Eriobotrya japonica,"",-1915-2005,1915 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2643,Eriosoma ulmi,"",-2003-2009,2003 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",United States,United States,"","",2648,Ernobius mollis,"",-1899-2009,1899 (Aukema and McCullough (2009)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Norway,Norway,"","",12968,Eryngium bourgatii,"",-1950-2000-1950,1950-2000 - 1950,low confidence,alien,alien,alien,"",GISD,GISD,Free
"",Hawaiian Islands,Hawaiian Islands,"","",6280,Eryngium foetidum,"",-1946-2005,1946 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27284,Erythrina poeppigiana,"",-1920-2005,1920 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",22217,Escallonia rubra var macrantha,"",-1933-2005,1933 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6285,Eschscholzia californica,"",-1942-2005,1942 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27288,Etlingera cevuga,"",-1986-2005,1986 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27289,Etlingera elatior,"",-1928-2005,1928 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27296,Eucalyptus albens,"",-1928-2005,1928 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6289,Eucalyptus botryoides,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27297,Eucalyptus bridgesiana,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",7776,Eucalyptus camaldulensis,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",8328,Eucalyptus cladocalyx,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27299,Eucalyptus cornuta,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27300,Eucalyptus crebra,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27301,Eucalyptus deanei,"",-1944-2005,1944 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27302,Eucalyptus deglupta,"",-1952-2005,1952 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6292,Eucalyptus globulus,"",-1916-2005,1916 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",6293,Eucalyptus gomphocephala,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27307,Eucalyptus microcorys,"",-1929-2005,1929 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27308,Eucalyptus moluccana,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27309,Eucalyptus paniculata,"",-1909-2005,1909 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27310,Eucalyptus pilularis,"",-1927-2005,1927 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",9964,Eucalyptus pulchella,"",-1959-2005,1959 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27311,Eucalyptus punctata,"",-1926-2005,1926 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
"",Hawaiian Islands,Hawaiian Islands,"","",27312,Eucalyptus raveretiana,"",-1945-2005,1945 (Imada et al (2005)),low confidence,"","","","",Simpson et al (2018),Simpson et al (2018),Free
